Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000544307532136468,-2.99868850751231E-05,0.054725711586891,0,0,0,0.555545716000886,0.00102756393092728,-1.14625436915861E-06,5.77151534787994E-06,0.00091328632122207,-6.67028428882405E-07,0.000955410685272008,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/base_link.STL,,BM2-6-26-腰-2/0001_8-1;BM2-6-26-腰-2/0029_5-1;BM2-6-26-腰-2/0028_6-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_yaw_link,-0.0179692521777399,-3.14655341412821E-05,0.105576286833348,0,0,0,2.79978581918241,0.0148745752190011,-7.2579075532799E-07,0.000373961735388426,0.00935616614647011,-4.94520462394517E-06,0.00935747617253304,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/waist_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/waist_yaw_link.STL,,BM2-6-26-胸腔-1/BM2-02-001-01-000_4-1;BM2-6-26-胸腔-1/BM2-02-001-06-000_4-1;BM2-6-26-胸腔-1/BM2-02-003-01-000_4-1;BM2-6-26-胸腔-1/BM2-02-003-0001_ASM_4_ASM-1/BM2-02-003-04-000_4-1;BM2-6-26-胸腔-1/BM2-07-00_ASM-1;BM2-6-26-胸腔-1/BM2-02-004-04-00_3-1;BM2-6-26-胸腔-1/BM2-02-003-03-USB0_3-1;BM2-6-26-胸腔-1/BM2-02-003-02-000_3-1;BM2-6-26-胸腔-1/_X2_-020001_3-1;BM2-6-26-胸腔-1/BM2-02-002-01-000_3-1;BM2-6-26-胸腔-1/BM2-02-001-04-000_4-1;BM2-6-26-胸腔-1/BM2-02-004-0001_ASM_3_ASM-1/BM2-02-004-01-000_3-1,waist_yaw_cs,waist_yaw_axis,waist_yaw_joint,revolute,0,0,0.1303,0,0,0,base_link,0,0,1,0,0,-1.5707,1.5707,,,,,,,,
l_arm_pitch_link,-0.00176027031219173,0.0441693230489432,4.98526051935788E-05,0,0,0,0.142726010647967,8.92008159452774E-05,3.46135951924734E-06,4.14318814286721E-07,0.000114423333021978,-7.29745252672502E-07,8.86013442861324E-05,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_arm_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_arm_pitch_link.STL,,BM2-6-26-左胳膊ARM-2/MirrorBM2-03-001-0001_ASM_1_ASM-1/MirrorBM2-03-001-002-R0001_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-001-0001_ASM_1_ASM-1/MirrorBM2-03-001-003-R0001_1-1,l_arm_pitch_cs,l_arm_pitch_axis,l_arm_pitch_joint,revolute,0,0.0922,0.16885,0.26182,0,0,waist_yaw_link,0,1,0,0,0,-3.1415,1.5707,,,,,,,,
l_arm_roll_link,0.0017372881541581,0.0174523364909211,-0.0457184857359885,0,0,0,0.211475938940876,0.00036380146369034,6.3921815289437E-07,5.16687986958549E-07,0.000309461861901452,3.47317229509596E-05,0.000117434837465649,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_arm_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_arm_roll_link.STL,,BM2-6-26-左胳膊ARM-2/MirrorBM2-03-002-0001_ASM_1_ASM-1/MirrorBM2-03-002-001-R000_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-002-0001_ASM_1_ASM-1/MirrorMCBM01990000093-0001_1-2;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-002-0001_ASM_1_ASM-1/MirrorBM2-03-002-002-R000_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-002-0001_ASM_1_ASM-1/MirrorMCBM01990000093-0001_1-1,l_arm_roll_cs,l_arm_roll_axis,l_arm_roll_joint,revolute,0,0.05466,0,-0.26182,0,0,l_arm_pitch_link,1,0,0,0,0,-0.0872,2.1816,,,,,,,,
l_arm_yaw_link,0.00232927462466198,-0.00142928942605858,-0.0619810653372916,0,0,0,0.111369993584582,7.77338346133064E-05,2.59672203701443E-07,1.13156322778419E-05,0.000110523397594261,-1.03792866255549E-06,5.11502489762727E-05,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_arm_yaw_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_arm_yaw_link.STL,,BM2-6-26-左胳膊ARM-2/MirrorBM2-03-003-0001_ASM_1_ASM-1/MirrorBM2-03-003-001-R0001_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-003-0001_ASM_1_ASM-1/MirrorBM2-03-003-002-R0001_1-1,l_arm_yaw_cs,l_arm_yaw_axis,l_arm_yaw_joint,revolute,1.8349E-05,0.023406,-0.095423,0.087271,0,0,l_arm_roll_link,0,0,1,0,0,-1.5707,1.5707,,,,,,,,
l_elbow_pitch_link,-0.00144337325572908,0.00105804776484375,-0.102738050006732,0,0,0,0.411370170514663,0.000264560633788843,4.62894197213488E-06,-3.67222352160913E-06,0.000277391529506839,-1.38102970359482E-06,0.000183649395567893,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_elbow_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/l_elbow_pitch_link.STL,,BM2-6-26-左胳膊ARM-2/MirrorBM2-03-004-0001_ASM_1_ASM-1/MirrorMCBM01990000093-0001_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-004-0001_ASM_1_ASM-1/MirrorBM2-03-004-002-R0001_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-004-0001_ASM_1_ASM-1/MirrorMCBM01990000093-0001_1-2;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-004-0001_ASM_1_ASM-1/MirrorBM2-03-004-001-R0001_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-004-0001_ASM_1_ASM-1/MirrorBM2-03-004-005-R00_1-1;BM2-6-26-左胳膊ARM-2/MirrorBM2-03-004-0001_ASM_1_ASM-1/MirrorBM2-03-005-001-R0_1-1,l_elbow_pitch_cs,l_elbow_pitch_axis,l_elbow_pitch_joint,revolute,0.01,0.00073362,-0.0779,0,0,0,l_arm_yaw_link,0,1,0,0,0,-2.2689,0,,,,,,,,
r_arm_pitch_link,-0.00176194670645516,-0.0441703937316517,4.56183661382281E-05,0,0,0,0.142716323747919,8.92000985927131E-05,-3.46117784866275E-06,4.20627518808611E-07,0.000114420779570916,7.28645428568625E-07,8.86022894233259E-05,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_arm_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_arm_pitch_link.STL,,BM2-6-26-右胳膊ARM-1/BM2-03-001-0001_ASM_1_ASM-1/BM2-03-001-002-R0001_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-001-0001_ASM_1_ASM-1/BM2-03-001-003-R0001_1-1,r_arm_pitch_cs,r_arm_pitch_axis,r_arm_pitch_joint,revolute,0,-0.092205,0.16885,-0.26182,0,0,waist_yaw_link,0,1,0,0,0,-3.1415,1.5707,,,,,,,,
r_arm_roll_link,0.00175595123057056,-0.0174591431409952,-0.0457229582496544,0,0,0,0.211374076612497,0.000363716217277401,-6.3279821148669E-07,4.97953798938148E-07,0.000309460285311425,-3.4708678854967E-05,0.00011733711349017,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_arm_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_arm_roll_link.STL,,BM2-6-26-右胳膊ARM-1/BM2-03-002-0001_ASM_1_ASM-1/BM2-03-002-002-R000_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-002-0001_ASM_1_ASM-1/MCBM01990000093-0001_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-002-0001_ASM_1_ASM-1/MCBM01990000093-0001_1-2;BM2-6-26-右胳膊ARM-1/BM2-03-002-0001_ASM_1_ASM-1/BM2-03-002-001-R000_1-1,r_arm_roll_cs,r_arm_roll_axis,r_arm_roll_joint,revolute,0,-0.05466,0,0.26182,0,0,r_arm_pitch_link,1,0,0,0,0,-2.1816,0.0872,,,,,,,,
r_arm_yaw_link,0.00232973385939841,0.00142297430390659,-0.0619798202768688,0,0,0,0.111380484296559,7.77362964080127E-05,-2.55774504726525E-07,1.13162677251592E-05,0.000110532333552287,1.04022220392393E-06,5.11546352943344E-05,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_arm_yaw_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_arm_yaw_link.STL,,BM2-6-26-右胳膊ARM-1/BM2-03-003-0001_ASM_1_ASM-1/BM2-03-003-001-R0001_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-003-0001_ASM_1_ASM-1/BM2-03-003-002-R0001_1-1,r_arm_yaw_cs,r_arm_yaw_axis,r_arm_yaw_joint,revolute,1.7946E-05,-0.023406,-0.095423,-0.087266,0,0,r_arm_roll_link,0,0,1,0,0,-1.5707,1.5707,,,,,,,,
r_elbow_pitch_link,-0.00144410030989232,-0.00105919395030799,-0.102731774515116,0,0,0,0.411366672475811,0.000264555740391155,-4.63932522290916E-06,-3.68060805620415E-06,0.000277402184603261,1.36471846691356E-06,0.000183644191944505,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_elbow_pitch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://0701BM2-URDF-V1.2.SLDASM/meshes/r_elbow_pitch_link.STL,,BM2-6-26-右胳膊ARM-1/BM2-03-004-0001_ASM_1_ASM-1/BM2-03-004-002-R0001_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-004-0001_ASM_1_ASM-1/BM2-03-004-001-R0001_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-004-0001_ASM_1_ASM-1/BM2-03-004-005-R00_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-004-0001_ASM_1_ASM-1/BM2-03-005-001-R0_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-004-0001_ASM_1_ASM-1/MCBM01990000093-0001_1-1;BM2-6-26-右胳膊ARM-1/BM2-03-004-0001_ASM_1_ASM-1/MCBM01990000093-0001_1-2,r_elbow_pitch_cs,r_elbow_pitch_axis,r_elbow_pitch_joint,revolute,0.01,-0.00073363,-0.0779,0,0,0,r_arm_yaw_link,0,1,0,0,0,-2.2689,0,,,,,,,,
